City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,Saldanha,-33.0117,17.9442,78.8,41,18,6.91,ZA,2021-04-06 11:42:44
260,Amapa,1.0,-52.0,76.6,92,96,2.95,BR,2021-04-06 11:42:44
261,Shingu,33.7333,135.9833,51.73,94,100,4.14,JP,2021-04-06 11:42:44
262,Songea,-10.6833,35.65,75.2,73,75,20.71,TZ,2021-04-06 11:42:45
263,Rorvik,64.8621,11.2373,42.8,65,75,26.46,NO,2021-04-06 11:42:45
264,Uyemskiy,64.4743,40.8524,50.0,40,20,15.66,RU,2021-04-06 11:42:45
265,Kemi,65.8596,24.8228,33.8,80,90,16.11,FI,2021-04-06 11:42:46
266,Lindsay,36.203,-119.0882,50.0,87,1,6.91,US,2021-04-06 11:41:49
267,Balikpapan,-1.2675,116.8289,78.64,85,94,6.64,ID,2021-04-06 11:39:06
268,Batemans Bay,-35.7167,150.1833,71.01,90,31,4.0,AU,2021-04-06 11:42:46
269,Nilopolis,-22.8075,-43.4139,77.0,78,0,1.36,BR,2021-04-06 11:42:47
270,Zhezkazgan,47.8043,67.7144,52.0,66,91,5.48,KZ,2021-04-06 11:42:47
271,Pinar Del Rio,22.4175,-83.6981,63.19,79,74,6.87,CU,2021-04-06 11:42:47
272,Cranbrook,49.4999,-115.7688,26.6,80,1,2.01,CA,2021-04-06 11:42:48
273,Longyearbyen,78.2186,15.6401,12.2,52,20,13.8,SJ,2021-04-06 11:42:48
274,Lasa,46.6166,10.7002,50.0,40,0,9.22,IT,2021-04-06 11:42:48
275,Prieska,-29.6641,22.7474,86.63,18,0,8.25,ZA,2021-04-06 11:42:49
276,Ayan,56.45,138.1667,18.84,84,100,10.85,RU,2021-04-06 11:42:49
277,Dakar,14.6937,-17.4441,75.2,64,0,16.11,SN,2021-04-06 11:39:53
278,Katiola,8.1333,-5.1,84.2,74,75,11.5,CI,2021-04-06 11:42:49
279,Boa Vista,2.8197,-60.6733,75.2,88,90,4.61,BR,2021-04-06 11:42:50
280,Kieta,-6.2167,155.6333,80.46,84,99,3.18,PG,2021-04-06 11:42:50
281,Beira,-19.8436,34.8389,84.2,54,20,11.05,MZ,2021-04-06 11:42:50
282,Verkhnevilyuysk,63.4453,120.3167,-4.49,95,97,4.45,RU,2021-04-06 11:42:51
283,Rognan,67.0953,15.3878,39.99,70,75,20.71,NO,2021-04-06 11:42:51
284,Cidreira,-30.1811,-50.2056,73.94,74,68,11.21,BR,2021-04-06 11:42:51
285,Digapahandi,19.3667,84.5833,91.62,41,3,11.52,IN,2021-04-06 11:42:52
286,Southbridge,42.0751,-72.0334,44.01,53,17,1.99,US,2021-04-06 11:40:10
287,Ishigaki,24.3448,124.1572,68.0,68,20,10.36,JP,2021-04-06 11:42:52
288,Durango,24.8333,-104.8333,54.99,58,24,4.43,MX,2021-04-06 11:41:24
289,Huanren,41.2647,125.3667,48.31,31,0,1.86,CN,2021-04-06 11:42:53
290,Waipawa,-41.4122,175.5153,55.4,94,26,3.44,NZ,2021-04-06 11:42:53
291,Mount Isa,-20.7333,139.5,80.6,41,70,6.91,AU,2021-04-06 11:42:54
292,Ulagan,50.6321,87.9563,39.81,76,99,1.79,RU,2021-04-06 11:42:54
293,Gigmoto,13.7796,124.39,77.59,81,76,10.94,PH,2021-04-06 11:42:54
294,Malakal,9.5334,31.6605,105.33,5,20,4.38,SS,2021-04-06 11:42:55
295,Visby,57.6409,18.296,45.0,56,0,20.71,SE,2021-04-06 11:42:55
296,Ancud,-41.8697,-73.8203,57.0,89,100,18.01,CL,2021-04-06 11:42:55
297,Vestmannaeyjar,63.4427,-20.2734,32.43,64,100,5.44,IS,2021-04-06 11:42:56
298,Russell,32.3502,-85.1999,50.0,87,1,3.33,US,2021-04-06 11:42:56
299,Nanortalik,60.1432,-45.2371,35.91,93,100,2.71,GL,2021-04-06 11:42:56
300,San Buenaventura,27.0833,-101.5333,66.33,63,54,1.28,MX,2021-04-06 11:42:56
301,Gazli,40.1333,63.45,69.44,21,0,6.33,UZ,2021-04-06 11:42:57
302,Argentan,48.75,-0.0167,42.8,56,75,16.11,FR,2021-04-06 11:40:04
303,Teguise,29.0605,-13.564,71.6,46,40,9.22,ES,2021-04-06 11:42:57
304,Qiongshan,20.0058,110.3542,77.0,88,75,8.95,CN,2021-04-06 11:42:58
305,Skjervoy,70.0311,20.9714,37.4,87,75,4.61,NO,2021-04-06 11:42:58
306,Ugoofaaru,5.6667,73.0,84.47,68,78,8.95,MV,2021-04-06 11:42:58
307,Sakakah,29.9697,40.2064,86.0,7,0,17.27,SA,2021-04-06 11:42:14
308,Birao,10.2849,22.7882,106.7,6,10,8.5,CF,2021-04-06 11:42:59
309,Lata,40.1629,-8.3327,75.99,44,0,5.44,PT,2021-04-06 11:42:59
310,Bolivar,37.6145,-93.4105,60.01,76,48,15.03,US,2021-04-06 11:42:59
311,Muros,42.7762,-9.0603,62.01,48,0,9.53,ES,2021-04-06 11:43:00
312,Hambantota,6.1241,81.1185,87.8,74,20,6.91,LK,2021-04-06 11:43:00
313,Yulara,-25.2406,130.9889,80.6,22,0,8.05,AU,2021-04-06 11:43:00
314,Dutse,11.7594,9.3392,103.57,6,39,9.82,NG,2021-04-06 11:43:01
315,Tazovskiy,67.4667,78.7,32.36,96,100,10.0,RU,2021-04-06 11:43:01
316,Coahuayana,18.7333,-103.6833,67.75,90,42,3.22,MX,2021-04-06 11:43:01
317,The Pas,53.8251,-101.2541,28.4,80,1,1.36,CA,2021-04-06 11:43:02
318,Buala,-8.145,159.5921,80.29,82,100,5.23,SB,2021-04-06 11:43:02
319,Mujiayingzi,42.1167,118.7833,50.27,44,85,4.63,CN,2021-04-06 11:43:02
320,Tukrah,32.5341,20.5791,64.56,70,45,13.98,LY,2021-04-06 11:43:03
321,Cayenne,4.9333,-52.3333,82.4,78,40,8.05,GF,2021-04-06 11:42:15
322,Portobelo,9.55,-79.65,78.01,90,93,38.01,PA,2021-04-06 11:43:03
323,Lavrentiya,65.5833,-171.0,-9.98,94,7,8.9,RU,2021-04-06 11:43:04
324,Nouadhibou,20.931,-17.0347,75.2,50,0,19.57,MR,2021-04-06 11:43:04
325,Alta Floresta,-9.8756,-56.0861,74.14,94,100,2.24,BR,2021-04-06 11:43:04
326,Prabumulih,-3.45,104.25,78.44,85,70,3.62,ID,2021-04-06 11:43:05
327,Wageningen,51.9667,5.6667,44.01,65,75,12.66,NL,2021-04-06 11:43:05
328,Mutoko,-17.397,32.2268,78.69,39,17,7.65,ZW,2021-04-06 11:43:05
329,Port Lincoln,-34.7333,135.8667,65.52,72,0,13.09,AU,2021-04-06 11:43:06
330,Hasaki,35.7333,140.8333,50.0,76,75,12.66,JP,2021-04-06 11:43:06
331,Juneau,58.3019,-134.4197,35.6,80,90,6.91,US,2021-04-06 11:43:06
332,Coquimbo,-29.9533,-71.3436,53.6,82,0,4.61,CL,2021-04-06 11:43:07
333,Dhidhdhoo,6.8833,73.1,84.85,71,83,9.48,MV,2021-04-06 11:43:07
334,Bilibino,68.0546,166.4372,-18.72,99,32,4.29,RU,2021-04-06 11:43:07
335,Narrabri,-30.3167,149.7833,68.0,68,77,6.91,AU,2021-04-06 11:43:08
336,Shizunai,42.3339,142.3669,35.67,74,100,9.98,JP,2021-04-06 11:40:10
337,Meulaboh,4.1363,96.1285,79.95,80,61,2.84,ID,2021-04-06 11:43:08
338,Muvattupula,9.9667,76.5833,89.6,70,40,6.91,IN,2021-04-06 11:43:08
339,Narsaq,60.9167,-46.05,37.4,81,75,5.75,GL,2021-04-06 11:43:09
340,Srandakan,-7.9386,110.2506,77.63,90,99,7.16,ID,2021-04-06 11:42:03
341,Saint George,37.1041,-113.5841,57.2,26,1,9.22,US,2021-04-06 11:43:09
342,Leningradskiy,69.3833,178.4167,-16.87,99,86,4.79,RU,2021-04-06 11:43:09
343,Rock Springs,41.5875,-109.2029,28.99,86,90,14.97,US,2021-04-06 11:43:10
344,Kaeo,-35.1,173.7833,62.01,90,80,1.99,NZ,2021-04-06 11:43:10
345,Cockburn Town,21.4612,-71.1419,73.4,60,40,11.5,TC,2021-04-06 11:43:11
346,Tuatapere,-46.1333,167.6833,54.0,91,99,15.01,NZ,2021-04-06 11:43:11
347,Lukovetskiy,64.2956,41.9211,50.0,40,20,15.66,RU,2021-04-06 11:43:11
348,Yingkou,40.6648,122.2283,49.15,47,1,6.93,CN,2021-04-06 11:43:12
349,Rio Brilhante,-21.8019,-54.5464,79.07,51,72,7.58,BR,2021-04-06 11:43:12
350,Pacific Grove,36.6177,-121.9166,51.8,82,90,4.56,US,2021-04-06 11:43:13
351,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,71.38,98,99,0.29,BR,2021-04-06 11:43:13
352,Hualmay,-11.0964,-77.6139,70.07,83,98,7.25,PE,2021-04-06 11:43:13
353,La Cruz,23.9167,-106.9,65.95,61,0,5.1,MX,2021-04-06 11:43:14
354,Dehloran,32.6941,47.2679,88.84,13,0,7.9,IR,2021-04-06 11:43:14
355,Balkhash,46.844,74.9804,55.4,62,20,2.24,KZ,2021-04-06 11:43:15
356,Terme,41.2092,36.9739,62.01,72,75,4.61,TR,2021-04-06 11:43:15
357,Carutapera,-1.195,-46.02,81.57,82,38,8.43,BR,2021-04-06 11:43:15
358,Lodwar,3.1191,35.5973,94.98,30,70,6.67,KE,2021-04-06 11:43:16
359,Hirado,33.3597,129.5531,55.4,54,0,13.8,JP,2021-04-06 11:43:16
360,Nanding,36.7483,118.0558,64.99,40,48,5.7,CN,2021-04-06 11:43:16
361,Viedma,-40.8135,-62.9967,71.1,68,100,12.33,AR,2021-04-06 11:43:17
362,North Platte,41.1239,-100.7654,57.2,72,1,10.36,US,2021-04-06 11:43:17
363,Alofi,-19.0595,-169.9187,75.2,94,90,2.3,NU,2021-04-06 11:43:17
364,Quatre Cocos,-20.2078,57.7625,86.0,70,20,8.05,MU,2021-04-06 11:43:18
365,Westport,41.1415,-73.3579,46.0,45,1,6.91,US,2021-04-06 11:43:18
366,Tete,-16.1564,33.5867,91.4,35,75,9.22,MZ,2021-04-06 11:43:18
367,Erenhot,43.6475,111.9767,51.24,27,31,13.11,CN,2021-04-06 11:43:19
368,Joshimath,30.5667,79.5667,58.1,76,97,2.39,IN,2021-04-06 11:43:19
369,Boyolangu,-8.1181,111.8935,77.18,88,98,4.47,ID,2021-04-06 11:43:19
370,Padang,-0.9492,100.3543,84.2,79,20,4.61,ID,2021-04-06 11:43:19
371,Havre-Saint-Pierre,50.2334,-63.5986,44.6,87,75,20.71,CA,2021-04-06 11:43:20
372,Morant Bay,17.8815,-76.4093,78.01,78,20,4.61,JM,2021-04-06 11:43:20
373,Hirara,24.8,125.2833,68.0,68,20,11.5,JP,2021-04-06 11:43:21
