City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
222,Ivanivka,UA,57.07,broken clouds,46.7208,34.553000000000004,Спорт Лото
224,Chum Phae,TH,95.61,overcast clouds,16.5443,102.0992,Major Grand
225,Indramayu,ID,84.43,scattered clouds,-6.3264,108.32,Grand Trisula Hotel
226,Rabo De Peixe,PT,62.6,scattered clouds,37.8,-25.5833,Quinta das Giestas
228,Tulun,RU,33.58,scattered clouds,54.5611,100.5792,Квартира
229,San Fernando,PH,93.2,scattered clouds,15.0286,120.6898,Maharlika Hostel
230,Acapulco,MX,74.79,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
232,Tura,IN,96.31,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
233,Isangel,VU,79.77,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
234,Cayenne,GF,73.4,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
235,Navrongo,GH,92.08,overcast clouds,10.8956,-1.0921,Azakka Hotel
236,Marystown,CA,34.16,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
237,Komsomolskiy,UZ,75.2,clear sky,40.4272,71.7189,Ikathouse
238,Pedro Juan Caballero,PY,68.68,clear sky,-22.5472,-55.7333,Hotel Internacional
239,Kudahuvadhoo,MV,83.57,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
240,Alice Springs,AU,69.8,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
241,Ponta Do Sol,PT,66.2,few clouds,32.6667,-17.1,Hotel do Campo
242,Yulara,AU,75.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
243,Beringovskiy,RU,3.87,light snow,63.05,179.3167,Beringgorski
244,Chumikan,RU,31.5,clear sky,54.7183,135.315,Fortuna
245,Skjervoy,NO,35.8,light rain,70.0311,20.9714,Skjervøy Byggeservice AS
246,Itarema,BR,74.82,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
247,Saint Anthony,US,45.0,overcast clouds,45.0205,-93.21799999999999,Holiday Inn Express Roseville-St. Paul
248,Chernyakhovsk,RU,50.32,overcast clouds,54.6335,21.8156,"Hotel ""Georgenburg"""
249,Quatre Cocos,MU,82.99,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
250,Iqaluit,CA,21.2,snow,63.7506,-68.5145,Frobisher Inn
251,Aksay,RU,48.2,overcast clouds,47.26,39.87,Chernaya Zhemchuzhina
252,Lasa,IT,48.99,fog,46.6166,10.7002,Pension Feldgärtenhof
253,Storforshei,NO,37.0,overcast clouds,66.4043,14.5233,Skogly overnatting (Stengt/closed)
254,Fasa,IR,84.2,scattered clouds,28.9383,53.6482,Fasa University Boys' Dormitory
255,Sitka,US,30.2,broken clouds,57.0531,-135.33,Westmark Sitka
256,Ketchikan,US,33.8,overcast clouds,55.3422,-131.6461,Snows Cove Lodge
257,Luena,AO,73.0,overcast clouds,-11.7833,19.9167,Hotel Kandamba
258,Abha,SA,77.0,clear sky,18.2164,42.5053,Abha Hotel
260,Mazagao,BR,75.2,mist,-0.115,-51.2894,Recanto dos Ferreiras
261,Sorochinsk,RU,61.27,broken clouds,52.4338,53.1583,Hotel Skazka
262,Nuuk,GL,28.4,broken clouds,64.1835,-51.7216,Vandrehuset
263,Altay,CN,50.47,clear sky,47.8667,88.1167,Jinqiao Hotel
264,Faya,SA,77.0,clear sky,18.3851,42.4509,مقبرة ال مجمل
266,Bathsheba,BB,77.0,light rain,13.2167,-59.5167,Atlantis Hotel
267,Cidreira,BR,72.84,scattered clouds,-30.1811,-50.2056,Hotel Castelo
268,Iskateley,RU,35.13,snow,67.6803,53.1512,Hostel Agat
269,Sungairaya,ID,84.25,overcast clouds,0.7,108.9,Mess P.Milu
270,Port Hedland,AU,87.8,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
271,Lillooet,CA,33.8,overcast clouds,50.6856,-121.94200000000001,Hotel Victoria
273,Griffith,US,46.4,overcast clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
274,Tarauaca,BR,70.77,broken clouds,-8.1614,-70.7656,Flat Temporada
275,Los Llanos De Aridane,ES,68.0,few clouds,28.6585,-17.9182,Valle Aridane
276,Nipawin,CA,33.8,light snow,53.3668,-104.0009,Tobin Lake Motel
277,Inverness,GB,39.99,broken clouds,57.4791,-4.224,Glen Mhor Hotel & Apartments
278,Walla Walla,US,32.0,clear sky,46.0646,-118.34299999999999,Holiday Inn Express Walla Walla
280,Mykolayivka,UA,55.96,clear sky,47.5414,30.7561,Готель
281,Laguna,US,52.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
282,Omboue,GA,82.85,light rain,-1.5746,9.2618,Hotel Olako
283,Taiobeiras,BR,56.75,clear sky,-15.8078,-42.2331,Dallas Hotel
284,Bengkulu,ID,83.41,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
285,Hofn,IS,34.36,overcast clouds,64.2539,-15.2082,Hótel Höfn
287,Cabo San Lucas,MX,71.01,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
288,Exmouth,GB,43.0,broken clouds,50.6172,-3.4023,Devoncourt Resort & Apartments
290,Pundaguitan,PH,83.3,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
292,Petropavlovsk-Kamchatskiy,RU,32.0,scattered clouds,53.0452,158.6483,The Hotel Petropavlovsky
293,Hengyang,CN,65.39,overcast clouds,26.8881,112.615,Honglin Guesthouse
294,Srandakan,ID,84.34,scattered clouds,-7.9386,110.2506,Puri Brata
295,Tambura,SS,91.99,overcast clouds,5.6,27.4667,Rikito Lodge
296,Kavieng,PG,81.28,light rain,-2.5744,150.7967,Nusa Island Retreat
298,Hirara,JP,73.4,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
299,Flin Flon,CA,29.5,snow,54.7682,-101.865,Victoria Inn Flin Flon
302,Northam,GB,46.0,few clouds,51.0333,-4.2167,Durrant House Hotel
303,Marsaxlokk,MT,63.0,broken clouds,35.8419,14.5431,Water's Edge
304,Cairns,AU,80.6,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
305,Santa Rosa,PH,89.6,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
307,Candelaria,PH,84.99,broken clouds,13.9311,121.4233,Casa de Provincia
308,Macklin,CA,28.4,scattered clouds,52.3334,-109.9348,Motor Inn
309,Saint George,US,59.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
310,Guilin,CN,62.6,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
311,Fillmore,US,43.0,overcast clouds,43.6666,-92.1002,Country Trails Inn & Suites
312,Nikolskoye,RU,48.99,clear sky,59.7035,30.7861,Tourist House - Sablino
313,Fortuna,US,42.01,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
314,Znin,PL,60.01,clear sky,52.8496,17.7199,Gosciniec Krys
315,Caravelas,BR,72.09,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
316,Skole,UA,61.0,broken clouds,49.0372,23.5135,Zelena Hata
317,Grand Gaube,MU,82.99,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
318,Mogadishu,SO,87.8,scattered clouds,2.0371,45.3438,Olympic Hotel
319,Itaituba,BR,71.67,broken clouds,-4.2761,-55.9836,Hotel Campos
320,Roald,NO,35.01,broken clouds,62.5833,6.1333,Flem Cabins
321,Kavaratti,IN,83.82,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
322,Baruun-Urt,MN,52.36,scattered clouds,46.6806,113.2792,Ахмадын амралт сувилал
323,Conde,BR,73.4,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
324,Bend,US,33.8,overcast clouds,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
325,Tanta,EG,70.09,clear sky,30.7885,31.0019,Hesham & Fouad Pharma Group Pharmacies
326,Sibolga,ID,81.63,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
327,Thompson,CA,24.8,overcast clouds,55.7435,-97.8558,Burntwood Hotel
328,Zhigalovo,RU,32.4,overcast clouds,54.8097,105.1578,"Hotel ""Lenatur"""
329,Antofagasta,CL,60.8,overcast clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
330,Pulawy,PL,64.99,broken clouds,51.4166,21.9694,Hotel Trzy Korony
331,Ulaangom,MN,44.15,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
332,Oistins,BB,77.0,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
334,Kampong Thum,KH,94.84,overcast clouds,12.7111,104.8887,Sambor Village Hotel
335,East London,ZA,75.2,scattered clouds,-33.0153,27.9116,Tu Casa
336,Ust-Nera,RU,3.47,overcast clouds,64.5667,143.2,Hotel Ust-Nera
337,Lakatoro,VU,77.32,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
338,Eniwa,JP,52.0,clear sky,42.8779,141.5442,えにわビジネスホテルSG
339,Longyearbyen,SJ,19.4,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
340,Pochutla,MX,75.0,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
341,Conceicao Da Barra,BR,67.19,few clouds,-18.5933,-39.7322,Cricaré Praia Hotel
342,Posse,BR,65.28,broken clouds,-14.0931,-46.3694,Pousada das Palmeiras
343,Sisimiut,GL,26.02,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
344,Alofi,NU,75.2,light rain,-19.0595,-169.9187,Taloa Heights
345,Nargana,PA,78.22,scattered clouds,9.4428,-78.5906,Dubbir
346,Weinan,CN,66.99,dust,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
347,Uruacu,BR,65.53,clear sky,-14.5247,-49.1408,Cassius Hotel
349,Tobol,KZ,38.79,scattered clouds,52.6844,62.5794,Tobol Gostinitsa
350,Palmer,US,53.01,broken clouds,42.1584,-72.3287,Wedgewood Motel
351,Lithgow,AU,42.01,clear sky,-33.4833,150.15,Zig Zag Motel Lithgow
352,Tzaneen,ZA,77.0,clear sky,-23.8332,30.1635,Hotel @ Tzaneen
353,Praia,CV,77.0,clear sky,14.9215,-23.5087,LT Aparthotel
354,Te Anau,NZ,50.25,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
